_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
72752,1,PO-00022,318,Richmond St W,Richmond St W,North,Widmer St,East,7304.0,10,Toronto Entertainment District,PPC,Existing,M2007304,0,313514.721,4834337.298,-79.39197013100001,43.648927395,"{u'type': u'Point', u'coordinates': (-79.3919701318, 43.6489273976)}"
72753,2,PO-00027,352,Adelaide St W,Adelaide St W,North,Peter St,West,7309.0,10,Toronto Entertainment District,PPC,Existing,M2007309,0,313396.842,4834151.608,-79.393434339,43.647257309,"{u'type': u'Point', u'coordinates': (-79.393434342, 43.6472573086)}"
72754,3,PO-00029,240,Adelaide St W,Adelaide St W,North,Duncan St,East,7311.0,10,Toronto Entertainment District,PPC,Existing,M2007311,0,313797.451,4834268.551,-79.38846649199999,43.648305211,"{u'type': u'Point', u'coordinates': (-79.3884664913, 43.6483052162)}"
72755,4,PO-00032,174,Front St W,Front St W,North,Simcoe St,East,7320.0,10,Toronto Entertainment District,PPC,Existing,M2007320,0,314102.086,4833892.107,-79.384696689,43.644912968,"{u'type': u'Point', u'coordinates': (-79.3846966874, 43.6449129656)}"
72756,5,PO-00034,270,Front St W,Front St W,North,John St,East,7322.0,10,Toronto Entertainment District,PPC,Existing,M2007322,0,313815.57,4833807.853,-79.38824957199999,43.644158088000005,"{u'type': u'Point', u'coordinates': (-79.3882495742, 43.6441580926)}"
72757,6,PO-00116,1950,Lawrence Ave E,Lawrence Ave E,North,Tower Dr,West,3370.0,21,,PPC,Existing,M3703370,0,320954.278,4844973.845,-79.29942907899999,43.744545081000005,"{u'type': u'Point', u'coordinates': (-79.2994290748, 43.7445450842)}"
72758,7,PO-00170,49,Front St E,Front St E,North,Church St,West,6836.0,13,St. Lawrence Market Neighbourhood,PPC,Temporarily Removed,M2806836,0,314918.269,4834254.406,-79.374572995,43.648163487,"{u'type': u'Point', u'coordinates': (-79.3745729895, 43.6481634923)}"
72759,8,PO-01108,5125,Sheppard Ave E,Markham Rd,South,Sheppard Ave E,West,14558.0,23,Sheppard East Village,PPC,Existing,M4214558,0,325792.99100000004,4850442.393999999,-79.239138489,43.793646724,"{u'type': u'Point', u'coordinates': (-79.2391384938, 43.7936467225)}"
72760,9,PO-01109,,,Birchmount Rd,East,Kingston Rd,North,14625.0,20,,PPC,Existing,M3614625,0,323947.82300000003,4839322.524,-79.262462666,43.693605288,"{u'type': u'Point', u'coordinates': (-79.2624626654, 43.6936052897)}"
72761,10,PO-01111,,,Kingston Rd,North,McCowan Rd,East,14627.0,20,,PPC,Existing,M3614627,0,326374.826,4842878.833000001,-79.23221243100001,43.725549693999994,"{u'type': u'Point', u'coordinates': (-79.2322124288, 43.7255496985)}"
72762,11,PO-01112,,,Eglinton Ave E,North,Bellamy Rd N,East,14628.0,21,,PPC,Existing,M3514628,0,326403.86600000004,4844539.271000001,-79.231785288,43.740494672,"{u'type': u'Point', u'coordinates': (-79.2317852926, 43.7404946749)}"
72763,12,PO-01113,,,Port Union Rd,East,Lawrence Ave E,North,14622.0,25,,PPC,Existing,M4414622,0,334051.43100000004,4848950.166,-79.136601225,43.779934935,"{u'type': u'Point', u'coordinates': (-79.1366012263, 43.7799349413)}"
72764,13,PO-01083,,,Manse Rd,West,Mansewood Gdns,South,14373.0,25,,PPC,Existing,M4414373,0,330906.30100000004,4847717.776000001,-79.175733355,43.768959726999995,"{u'type': u'Point', u'coordinates': (-79.1757333534, 43.7689597267)}"
72765,14,PO-00259,370,Broadview Ave,Gerrard St E,North,Broadview Ave,West,8162.0,14,,PPC,Existing,M3008162,0,316658.054,4836185.09,-79.352964118,43.665516499,"{u'type': u'Point', u'coordinates': (-79.3529641172, 43.6655165025)}"
72766,15,PO-00462,155,Bonis Ave,Bonis Ave,South,Kennedy Ave,West,8339.0,22,,PPC,Existing,M4008339,0,321433.775,4849537.869,-79.29333431100001,43.78561581100001,"{u'type': u'Point', u'coordinates': (-79.2933343136, 43.7856158162)}"
72767,16,PO-00496,270,Heath St W,Heath St W,North,Lonsmount Dr,East,8029.0,12,,PPC,Existing,M2108029,0,311555.437,4838458.036,-79.416206293,43.686039863999994,"{u'type': u'Point', u'coordinates': (-79.4162062964, 43.6860398702)}"
72768,17,PO-00128,341,Oakwood Ave,Oakwood Ave,East,Holland Park Ave,North,6751.0,12,Oakwood Village,PPC,Existing,M1506751,0,309769.293,4838507.937,-79.438360955,43.686503135,"{u'type': u'Point', u'coordinates': (-79.4383609569, 43.6865031377)}"
72769,18,PO-00790,1785,Finch Ave W,Finch Ave W,South,Tobermory Dr,East,13835.0,7,,PPC,Existing,M0813835,0,304214.901,4846595.223999999,-79.507266361,43.759315188,"{u'type': u'Point', u'coordinates': (-79.5072663553, 43.7593151904)}"
72770,20,PO-00794,,,Lariviere Rd,West,Patricia Ave,North,13838.0,18,,PPC,Existing,M2313838,0,311163.01300000004,4850050.025,-79.420936706,43.790385306000005,"{u'type': u'Point', u'coordinates': (-79.4209367011, 43.790385307)}"
72771,21,PO-00798,410,Martin Grove Rd,Martin Grove Rd,West,Millburn Dr,South,13818.0,2,,PPC,Existing,M0313818,0,300088.191,4835990.373,-79.55842323,43.663843422,"{u'type': u'Point', u'coordinates': (-79.5584232275, 43.6638434225)}"
72772,22,PO-00801,1507,Lawrence Ave W,Lawrence Ave W,South,Pimlico Rd,East,13839.0,5,,PPC,Existing,M1213839,0,306275.049,4840848.835,-79.481697096,43.707589387,"{u'type': u'Point', u'coordinates': (-79.4816970994, 43.7075893871)}"
